supplier_name,product_sku,product_name,unit,reason,etiqueta_nuevo
Empresa Ayrampo,SKU-8697FBECCC,Abaco,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-AAD11162D5,adorno niño selvatico,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E784193A9C,adornos para el dia del padre,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E082FFFBDB,Base 10,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9DACA2AC67,betun negro mediano,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6B0F82BDFF,bloques,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-CB9437A81C,"bolson de l,ona",unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-83CD5D38B1,Borrador Aval x 20,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-384706C8BB,Borrador Aval x 30,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-25611AAAAD,Borrador layconsa bicolo x50,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B6B52CD788,borradores patita,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F7DA7DEB25,borradores transparentes,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B1DE97BF6F,brocheta intermedia,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-1B4019FFD0,carton cartulina,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6AD4414B14,Cartuchera surtido cuero,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-488624C093,cartucheras,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-87FB5C45C1,Cartulina blanca,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D726876DA1,Cartulina Negra,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8EC5F5CD1C,cepillo colgate,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-EC04730CBE,chinches,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-65B092F11F,cholito,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-50A319EDA9,cinta capibara,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F80351F0F5,cinta de agua,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6E4CFB4AB7,cinta de cabello verde y kaky,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F0F3D54703,Cinta Maskin shurtaple 2*15,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-74D37CB40E,Cinta scoth delgado,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D35B231535,Colores cortos x 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-73ECB72794,Colores Jumbo,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-24D54B3207,Colores Largos x 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F3BED90DF2,Corrector,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-96FF456458,cortauña pequeña,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9E86C13A28,Crepe con diseño,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-3AFD2E7935,Cuaderno Markin # 100 h,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-165935C822,cuaderno markin triple reglon 100 h,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-C031FE8F76,cuadernos anillados capibara,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E8640331AC,cuadernos stanford 1x1,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F0552067DA,Cuadernos stanford 2x2,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6F4B1E2A08,Cuter por tiras d 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-66529C0038,Dados Grandes,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9D9DA3D551,escarapela,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-2981C63A39,escarcha bliquida grande,unidad,Cantidad igual a 0 en el Excel,true
